Input.text,Answer.sentiment.label,Input.label,Title,Description,SemanticSimilarityScore
the sinister inspiration that fueled devito's early working is confused in death to smoochy into something both ugly and thoughtless .,Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
the sinister inspiration that fueled devito's early working is confused in death to smoochy into something both ugly and thoughtless .,Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
the sinister inspiration that fueled devito's early working is confused in death to smoochy into something both ugly and thoughtless .,Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
the sinister inspiration that fueled devito's early working is confused in death to smoochy into something both ugly and thoughtless .,Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
hilarious musical comedy though impeded by accents thick as mud .,Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,0.9999999403953552
hilarious musical comedy though impeded by accents thick as mud .,Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,0.9999999403953552
hilarious musical comedy though impeded by accents thick as mud .,Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,0.9999999403953552
hilarious musical comedy though impeded by accents thick as mud .,Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,0.9999999403953552
hilarious musical comedy though impeded by accents thick as mud .,Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,0.9999999403953552
hilarious musical comedy though impeded by accents thick as mud .,Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,0.9999999403953552
a sleek advert for youthful anomie that never quite equals the sum of its pretensions .,Computer-altered,real,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.000000238418579
a sleek advert for youthful anomie that never quite equals the sum of its pretensions .,Computer-altered,real,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.000000238418579
a sleek advert for youthful anomie that never quite equals the sum of its pretensions .,Computer-altered,real,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.000000238418579
suffocated at conception by its munchausen-by-proxy mother . punishes the vehicle to love the star .,Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
suffocated at conception by its munchausen-by-proxy mother . punishes the vehicle to love the star .,Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
suffocated at conception by its munchausen-by-proxy mother . punishes the vehicle to love the star .,Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
suffocated at conception by its munchausen-by-proxy mother . punishes the vehicle to love the star .,Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
suffocated at conception by its munchausen-by-proxy mother . punishes the vehicle to love the star .,Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
suffocated at conception by its munchausen-by-proxy mother . punishes the vehicle to love the star .,Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
"the most memorable moment was when green threw medical equipment at a window ; not because it was specially funny , but because i ha a serious urges to grab the elderly lady at the end of my aisle's walker and toss it at the screen in frustration .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
"the most memorable moment was when green threw medical equipment at a window ; not because it was specially funny , but because i ha a serious urges to grab the elderly lady at the end of my aisle's walker and toss it at the screen in frustration .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
"the most memorable moment was when green threw medical equipment at a window ; not because it was specially funny , but because i ha a serious urges to grab the elderly lady at the end of my aisle's walker and toss it at the screen in frustration .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
"the most memorable moment was when green threw medical equipment at a window ; not because it was specially funny , but because i ha a serious urges to grab the elderly lady at the end of my aisle's walker and toss it at the screen in frustration .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
"when seagal appeared in an orange prison jumpsuit , i wanted to stand up in the theaters and shout , 'hey , kool-aid ! '",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.000000238418579
"what's surprising about this traditional thriller , moderately successful but not completely satisfying , is exactly how genteel and unsurprising the execution turns out to be .",Computer-altered,real,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
"what's surprising about this traditional thriller , moderately successful but not completely satisfying , is exactly how genteel and unsurprising the execution turns out to be .",Computer-altered,real,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
"what's surprising about this traditional thriller , moderately successful but not completely satisfying , is exactly how genteel and unsurprising the execution turns out to be .",Computer-altered,real,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
"what's surprising about this traditional thriller , moderately successful but not completely satisfying , is exactly how genteel and unsurprising the execution turns out to be .",Computer-altered,real,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
"what's surprising about this traditional thriller , moderately successful but not completely satisfying , is exactly how genteel and unsurprising the execution turns out to be .",Computer-altered,real,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
"what's surprising about this traditional thriller , moderately successful but not completely satisfying , is exactly how genteel and unsurprising the execution turns out to be .",Computer-altered,real,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
"what's surprising about this traditional thriller , moderately successful but not completely satisfying , is exactly how genteel and unsurprising the execution turns out to be .",Computer-altered,real,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
"at three hours and with very little stories or character evolution , there is plenty of room for editing , and a much shorter cut surely would have resulted in a smoother , more focused narrative without compromising any of the cultural intrigue .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
suffocated at conception by its munchausen-by-proxy mum . punish the vehicle to adore the star .,Computer-altered,real,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,0.9999999403953552
suffocated at conception by its munchausen-by-proxy mum . punish the vehicle to adore the star .,Computer-altered,real,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,0.9999999403953552
suffocated at conception by its munchausen-by-proxy mum . punish the vehicle to adore the star .,Computer-altered,real,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,0.9999999403953552
suffocated at conception by its munchausen-by-proxy mum . punish the vehicle to adore the star .,Computer-altered,real,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,0.9999999403953552
suffocated at conception by its munchausen-by-proxy mum . punish the vehicle to adore the star .,Computer-altered,real,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,0.9999999403953552
suffocated at conception by its munchausen-by-proxy mum . punish the vehicle to adore the star .,Computer-altered,real,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,0.9999999403953552
suffocated at conception by its munchausen-by-proxy mum . punish the vehicle to adore the star .,Computer-altered,real,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,0.9999999403953552
suffocated at conception by its munchausen-by-proxy mum . punish the vehicle to adore the star .,Computer-altered,real,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,0.9999999403953552
suffocated at conception by its munchausen-by-proxy mum . punish the vehicle to adore the star .,Computer-altered,real,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,0.9999999403953552
"affleck simply creates an outline for a role he still needs to grow into , a role that ford effortlessly filled with authority .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
"affleck simply creates an outline for a role he still needs to grow into , a role that ford effortlessly filled with authority .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
"filmmakers have to dig deep to sink this low . fortunately for all involved , this movie is likely to disappear as quickly as an ice cube thrown into a pot of boiling water .",Computer-altered,real,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
"a film of empty , fetishistic violence in which killing is casual and fun .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
"a film of empty , fetishistic violence in which killing is casual and fun .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
"a film of empty , fetishistic violence in which killing is casual and fun .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
"schnitzler's film has a great hook , some clever bits and well-drawn , if standard issue , characters , but is still only partly satisfying .",Computer-altered,real,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
"howard and his co-stars all give committed performances , but they're often undone by howard's self-conscious attempts to find a 'literary' filmmaking style to match his subject .",Computer-altered,real,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
"howard and his co-stars all give committed performances , but they're often undone by howard's self-conscious attempts to find a 'literary' filmmaking style to match his subject .",Computer-altered,real,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
"this movie , a certain scene in particular , brought me uncomfortably close to lose my lunches .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
"this movie , a certain scene in particular , brought me uncomfortably close to lose my lunches .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
"this movie , a certain scene in particular , brought me uncomfortably close to lose my lunches .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
"this movie , a certain scene in particular , brought me uncomfortably close to lose my lunches .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
"this movie , a certain scene in particular , brought me uncomfortably close to lose my lunches .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
"this movie , a certain scene in particular , brought me uncomfortably close to lose my lunches .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
a movie that the less charitable might describe as a castrated cross between highlander and lolita .,Computer-altered,real,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
a movie that the less charitable might describe as a castrated cross between highlander and lolita .,Computer-altered,real,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
a movie that the less charitable might describe as a castrated cross between highlander and lolita .,Computer-altered,real,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
a movie that the less charitable might describe as a castrated cross between highlander and lolita .,Computer-altered,real,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
"i don't think i laughed out loud once . and when you're speaks about a slapstick comedy , that's a quite vast problems .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
"i don't think i laughed out loud once . and when you're speaks about a slapstick comedy , that's a quite vast problems .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
"i don't think i laughed out loud once . and when you're speaks about a slapstick comedy , that's a quite vast problems .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
"i don't think i laughed out loud once . and when you're speaks about a slapstick comedy , that's a quite vast problems .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
"i don't think i laughed out loud once . and when you're speaks about a slapstick comedy , that's a quite vast problems .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
"i don't think i laughed out loud once . and when you're speaks about a slapstick comedy , that's a quite vast problems .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
"i don't think i laughed out loud once . and when you're speaks about a slapstick comedy , that's a quite vast problems .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
the film is really closer to porn than a serious critique of what's amiss with this increasingly pervasive aspect of gay culture .,Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
the film is really closer to porn than a serious critique of what's amiss with this increasingly pervasive aspect of gay culture .,Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
the film is really closer to porn than a serious critique of what's amiss with this increasingly pervasive aspect of gay culture .,Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
sayles . . . once again strands his excellent performers in the same old story .,Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
sayles . . . once again strands his excellent performers in the same old story .,Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
sayles . . . once again strands his excellent performers in the same old story .,Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
"to call the other side of heaven "" horrifying "" would be to underestimate just how dangerous entertainments like it can be .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
"to call the other side of heaven "" horrifying "" would be to underestimate just how dangerous entertainments like it can be .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
"to call the other side of heaven "" horrifying "" would be to underestimate just how dangerous entertainments like it can be .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
"to call the other side of heaven "" horrifying "" would be to underestimate just how dangerous entertainments like it can be .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
"to call the other side of heaven "" horrifying "" would be to underestimate just how dangerous entertainments like it can be .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
"to call the other side of heaven "" horrifying "" would be to underestimate just how dangerous entertainments like it can be .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
"this is not the undisputed worst boxing films ever , but it's certainly not a champion - the big loser is the audience .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
"the films would work much better as a video installation in a museum , where viewers would be free to leave . straightaway .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
"the films would work much better as a video installation in a museum , where viewers would be free to leave . straightaway .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
"before long , the film starts playing like general hospital crossed with a saturday night live spoof of dog day afternoon .",Computer-altered,real,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0
"howard and his co-stars all give committed performances , but they're often undone by howard's self-conscious try to find a 'literary' filmmaking styles to matching his subject .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
"howard and his co-stars all give committed performances , but they're often undone by howard's self-conscious try to find a 'literary' filmmaking styles to matching his subject .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
"howard and his co-stars all give committed performances , but they're often undone by howard's self-conscious try to find a 'literary' filmmaking styles to matching his subject .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
"howard and his co-stars all give committed performances , but they're often undone by howard's self-conscious try to find a 'literary' filmmaking styles to matching his subject .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
"quitting provides a sucker-punch , and its impacts is all the greater beause director zhang's last film , the cuddly shower , was a non-menacing multi-character piece centered around a public bath house .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
"quitting provides a sucker-punch , and its impacts is all the greater beause director zhang's last film , the cuddly shower , was a non-menacing multi-character piece centered around a public bath house .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
"quitting provides a sucker-punch , and its impacts is all the greater beause director zhang's last film , the cuddly shower , was a non-menacing multi-character piece centered around a public bath house .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
"quitting provides a sucker-punch , and its impacts is all the greater beause director zhang's last film , the cuddly shower , was a non-menacing multi-character piece centered around a public bath house .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
"filmmakers have to dig deep to sinking this low . fortunately for all involved , this film is likely to disappearing as quickly as an ice cube hurled into a pot of boiling water .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.000000238418579
"filmmakers have to dig deep to sinking this low . fortunately for all involved , this film is likely to disappearing as quickly as an ice cube hurled into a pot of boiling water .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.000000238418579
"filmmakers have to dig deep to sinking this low . fortunately for all involved , this film is likely to disappearing as quickly as an ice cube hurled into a pot of boiling water .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.000000238418579
"filmmakers have to dig deep to sinking this low . fortunately for all involved , this film is likely to disappearing as quickly as an ice cube hurled into a pot of boiling water .",Computer-altered,fake,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.000000238418579
…passable enough for a shoot-out in the o . k . court house of life type of flick . strictly middle of the road .,Computer-altered,real,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
…passable enough for a shoot-out in the o . k . court house of life type of flick . strictly middle of the road .,Computer-altered,real,Guess reviews are real or fake,You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.,1.0000001192092896
